id	title	description	link	price	availability	image link	brand	gtin	identifier exists	produc type
31180942	CARTUCHERA 3 PISOS KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-3-pisos-koala1/	560 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-pisos-chimola-wild-spirit-koala_iz823956820xvzgrandexpz1xfz237691206-94179752-1xsz237691206xim11-d70e723dd28ea580d015422016053297-640-0.jpg	Chimola		no	Inicio > Productos
31180919	CARTUCHERA CANOPLA 1 CIERRE BUHO	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-1-cierre-buho1/	280 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierre-chimola-wild-spirit-buho_iz823913902xvzgrandexpz1xfz237691206-20375511472-2xsz237691206xim11-ebe3868d0ed64af19015422015003897-640-0.jpg	Chimola		no	Inicio > Productos
31180896	"MOCHILA ESPALDA 18"" KOALA"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-espalda-18-koala/	1180 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-grande-espalda-chimola-wild-spirit-koala-18_iz808285719xvzgrandexpz1xfz237691206-37081372570-1xsz237691206xim1-a8ec223dd5b5f96b3e15422013985874-640-0.jpg	Chimola		no	Inicio > Productos
31180869	"MOCHILA CARRO BUHO 12"""		https://www.tienda.chimola.com.ar/productos/mochila-carro-buho-12/	900 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-con-carrito-chimola-wild-spirit-buho12_iz808065950xvzgrandexpz1xfz237691206-73726395399-2xsz237691206xim1-44290b3d0d7d19687e15422012822164-640-0.jpg	Chimola		no	Inicio > Productos
31164484	"MOCHILA CARRO 12"" JIRAFA"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-carro-12-jirafa/	900 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-con-carrito-chimola-wild-spirit-jirafa-12_iz808196032xvzgrandexpz1xfz237691206-43599291795-2xsz237691206xim1-1068d6a3733bc8259015421336388120-640-0.jpg	Chimola		no	Inicio > Productos
31164295	CARTUCHERA CANOPLA 3 CIERRES KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-3-cierres-koala/	400 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-koala_iz823924334xvzgrandexpz1xfz237691206-132622527-1xsz237691206xim1-14fc08a620cecc3f3015421335051379-640-0.jpg	Chimola		no	Inicio > Productos
31164008	"MOCHILA CARRO 16"" KOALA"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-carro-16-koala/	1480 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-mediana-con-carro-chimola-wild-spirit-koala-16_iz808055997xvzgrandexpz1xfz237691206-60269566573-2xsz237691206xim1-613c6810e8e785b17d15421334040209-640-0.jpg	Chimola		no	Inicio > Productos
31162834	CARTUCHERA CANOPLA 3 CIERRES JIRAFA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-3-cierres-jirafa/	400 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-jirafa_iz823926211xvzgrandexpz1xfz237691206-663740281-1xsz237691206xim1-f912ead5413c9a2ec015421321752578-640-0.jpg	Chimola		no	Inicio > Productos
31162639	"MOCHILA CARRO 16"" BUHO"	"
"	https://www.tienda.chimola.com.ar/productos/mochila-carro-16-buho/	1480 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-escolar-mediana-con-carro-chimola-wild-spirit-buho-16_iz808074780xvzgrandexpz1xfz237691206-60430765149-1xsz237691206xim1-9d5501d376ae6a9abb15421319459846-640-0.jpg	Chimola		no	Inicio > Productos
31162572	CARTUCHERA 1 PISO BUHO	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-1-piso-buho/	400 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-piso-chimola-wild-spirit-buho_iz823957323xvzgrandexpz1xfz237691206-99399000483-4xsz237691206xim1-74e7f1f921d43f715915421318261203-640-0.jpg	Chimola		no	Inicio > Productos
